,type,entry_time,entry_price,stop_loss,exit_time,exit_price,profit
0,long,2025-12-26 13:35:00+00:00,4555.7001953125,4534.492036807308,2025-12-26 14:35:00+00:00,4558.0,0.0005048191472007618
1,long,2025-12-26 15:05:00+00:00,4559.39990234375,4540.007717349628,2025-12-26 16:10:00+00:00,4571.5,0.0026538794392722536
2,long,2025-12-26 19:15:00+00:00,4567.5,4547.773534333621,2025-12-26 19:25:00+00:00,4561.2998046875,-0.0013574592911877394
3,long,2025-12-26 21:30:00+00:00,4564.7998046875,4547.974684777977,2025-12-26 21:55:00+00:00,4552.7001953125,-0.002650633081997409
4,long,2025-12-29 01:10:00+00:00,4531.7998046875,4511.298364357919,2025-12-29 01:25:00+00:00,4520.10009765625,-0.002581691057744502
5,long,2025-12-29 02:20:00+00:00,4534.2001953125,4512.929018713405,2025-12-29 03:25:00+00:00,4536.2998046875,0.00046306058060043237
6,short,2025-12-30 16:05:00+00:00,4372.7001953125,4395.039931491353,2025-12-30 16:15:00+00:00,4383.89990234375,-0.002561279422553597
7,short,2025-12-30 19:30:00+00:00,4376.89990234375,4394.847056454026,2025-12-30 20:25:00+00:00,4365.5,0.002604560898832884
8,short,2025-12-31 04:15:00+00:00,4357.2001953125,4373.866173561159,2025-12-31 05:25:00+00:00,4353.7998046875,0.0007804072506602196
9,short,2025-12-31 08:35:00+00:00,4334.10009765625,4350.804051326379,2025-12-31 09:10:00+00:00,4329.2998046875,0.0011075639372855862
10,short,2025-12-31 10:30:00+00:00,4320.2998046875,4349.144933146955,2025-12-31 11:05:00+00:00,4325.39990234375,-0.001180496235635412
11,short,2025-12-31 17:20:00+00:00,4335.2001953125,4349.902724382562,2025-12-31 17:30:00+00:00,4338.7001953125,-0.0008073444921377396
12,short,2025-12-31 18:45:00+00:00,4331.5,4349.6717891815815,2025-12-31 19:00:00+00:00,4335.7001953125,-0.0009696860931547963
13,long,2026-01-02 10:35:00+00:00,4406.60009765625,4386.810371523815,2026-01-02 11:25:00+00:00,4406.89990234375,6.803537440564618e-05
14,short,2026-01-02 13:35:00+00:00,4381.5,4406.382434600316,2026-01-02 15:40:00+00:00,4357.10009765625,0.005568846820438206
15,long,2026-01-05 02:50:00+00:00,4416.2998046875,4398.613321565758,2026-01-05 03:30:00+00:00,4413.10009765625,-0.0007245221503879339
16,long,2026-01-05 14:00:00+00:00,4434.2001953125,4414.92187816858,2026-01-05 15:30:00+00:00,4454.2001953125,0.004510396265180468
17,long,2026-01-06 01:55:00+00:00,4460.0,4440.119571152704,2026-01-06 02:35:00+00:00,4463.0,0.0006726457399103139
18,long,2026-01-06 06:30:00+00:00,4474.7001953125,4455.381468383124,2026-01-06 07:20:00+00:00,4473.2001953125,-0.0003352179888099172
19,long,2026-01-06 11:55:00+00:00,4474.10009765625,4458.096259198183,2026-01-06 12:30:00+00:00,4471.60009765625,-0.0005587715843258895
20,long,2026-01-07 16:40:00+00:00,4477.89990234375,4454.62565931845,2026-01-07 17:05:00+00:00,4470.89990234375,-0.0015632327994505133
21,long,2026-01-07 23:55:00+00:00,4472.2001953125,4455.170929005048,2026-01-08 00:20:00+00:00,4467.7001953125,-0.0010062161360121218
22,short,2026-01-08 11:10:00+00:00,4436.7001953125,4452.346125059804,2026-01-08 12:25:00+00:00,4428.2001953125,0.001915838263982879
23,long,2026-01-08 15:10:00+00:00,4456.7998046875,4431.332420319891,2026-01-08 16:10:00+00:00,4456.60009765625,-4.4809513552741454e-05
24,long,2026-01-09 02:00:00+00:00,4484.2998046875,4464.004736907071,2026-01-09 02:35:00+00:00,4478.10009765625,-0.0013825362489745582
25,long,2026-01-09 06:30:00+00:00,4483.60009765625,4465.765322422055,2026-01-09 07:10:00+00:00,4480.2998046875,-0.0007360810279389525
26,long,2026-01-09 09:15:00+00:00,4484.39990234375,4467.669077311428,2026-01-09 09:40:00+00:00,4480.2998046875,-0.0009143024140436503
27,long,2026-01-09 14:10:00+00:00,4498.7998046875,4472.618763371333,2026-01-09 14:40:00+00:00,4497.2998046875,-0.00033342226040756096
28,long,2026-01-09 18:35:00+00:00,4513.10009765625,4487.4958317096925,2026-01-09 18:50:00+00:00,4506.5,-0.001462431037077501
29,long,2026-01-12 05:45:00+00:00,4594.39990234375,4577.446045906339,2026-01-12 06:00:00+00:00,4587.89990234375,-0.0014147658319172746
30,long,2026-01-12 07:10:00+00:00,4594.2001953125,4577.6097846347475,2026-01-12 07:30:00+00:00,4591.2001953125,-0.0006529972296507507
31,long,2026-01-12 12:50:00+00:00,4598.60009765625,4581.728131809906,2026-01-12 14:00:00+00:00,4610.39990234375,0.0025659558206668066
32,long,2026-01-12 15:05:00+00:00,4625.0,4589.447224157767,2026-01-12 16:25:00+00:00,4629.7998046875,0.0010377956081081081
33,long,2026-01-13 02:55:00+00:00,4603.10009765625,4586.58968502959,2026-01-13 03:40:00+00:00,4603.0,-2.174570487853751e-05
34,long,2026-01-13 08:35:00+00:00,4603.7001953125,4587.850737298688,2026-01-13 09:00:00+00:00,4600.0,-0.0008037437616523224
35,long,2026-01-13 13:05:00+00:00,4607.2998046875,4587.602305496765,2026-01-13 14:30:00+00:00,4623.60009765625,0.003537927562726863
36,long,2026-01-13 16:45:00+00:00,4619.60009765625,4602.232386730055,2026-01-13 17:10:00+00:00,4617.2001953125,-0.0005195043495144934
37,long,2026-01-14 02:20:00+00:00,4628.7001953125,4611.60429665289,2026-01-14 03:05:00+00:00,4627.60009765625,-0.00023766880761991725
38,long,2026-01-14 06:50:00+00:00,4640.7001953125,4621.970615372547,2026-01-14 07:05:00+00:00,4639.39990234375,-0.00028019327127906386
39,long,2026-01-14 08:45:00+00:00,4642.39990234375,4623.817160332339,2026-01-14 09:30:00+00:00,4641.2001953125,-0.0002584238877491616
40,long,2026-01-14 18:30:00+00:00,4637.2001953125,4621.3353385328455,2026-01-14 19:25:00+00:00,4642.10009765625,0.0010566510259149588
41,long,2026-01-15 02:10:00+00:00,4618.0,4598.538854151047,2026-01-15 02:35:00+00:00,4609.7001953125,-0.0017972725611736682
42,long,2026-01-15 06:15:00+00:00,4613.2001953125,4593.72546145961,2026-01-15 07:35:00+00:00,4608.2001953125,-0.0010838463080532533
43,long,2026-01-15 14:50:00+00:00,4617.0,4596.975885458145,2026-01-15 15:40:00+00:00,4616.0,-0.00021659085986571366
44,long,2026-01-15 17:20:00+00:00,4617.5,4599.497939144248,2026-01-15 18:30:00+00:00,4620.60009765625,0.0006713801096372495
45,long,2026-01-15 21:15:00+00:00,4617.60009765625,4601.142951243063,2026-01-15 23:10:00+00:00,4618.2998046875,0.0001515304522808611
46,long,2026-01-16 05:45:00+00:00,4615.60009765625,4595.294743735225,2026-01-16 06:10:00+00:00,4608.60009765625,-0.0015165958601037646
47,long,2026-01-16 10:20:00+00:00,4614.5,4597.502283671773,2026-01-16 10:50:00+00:00,4607.5,-0.0015169574168382273
48,long,2026-01-16 11:20:00+00:00,4613.7998046875,4597.72023655967,2026-01-16 12:00:00+00:00,4614.10009765625,6.508582545018754e-05
49,long,2026-01-16 14:45:00+00:00,4618.0,4596.647225221095,2026-01-16 15:15:00+00:00,4605.7998046875,-0.0026418785865093115
50,long,2026-01-16 21:55:00+00:00,4601.10009765625,4584.537776724426,2026-01-20 06:30:00+00:00,4714.10009765625,0.02455934398331411
51,long,2026-01-20 13:50:00+00:00,4737.10009765625,4716.9176319574535,2026-01-20 14:30:00+00:00,4735.60009765625,-0.0003166494203367472
52,long,2026-01-20 15:45:00+00:00,4742.0,4723.0070186131115,2026-01-20 16:00:00+00:00,4735.89990234375,-0.001286397649989456
53,long,2026-01-21 01:05:00+00:00,4799.89990234375,4780.501081663717,2026-01-21 02:15:00+00:00,4829.2001953125,0.0061043550000788385
54,long,2026-01-21 07:50:00+00:00,4858.39990234375,4831.718520090206,2026-01-21 08:40:00+00:00,4863.39990234375,0.001029145418348115
55,long,2026-01-22 00:55:00+00:00,4798.7998046875,4778.898199043358,2026-01-22 01:00:00+00:00,4777.10009765625,-0.004521902957913264
56,long,2026-01-22 01:20:00+00:00,4809.2001953125,4779.735219036483,2026-01-22 01:55:00+00:00,4799.2001953125,-0.0020793478320463646
57,long,2026-01-22 04:05:00+00:00,4800.10009765625,4781.633387721997,2026-01-22 04:25:00+00:00,4797.2001953125,-0.0006041337232042178
58,long,2026-01-22 14:00:00+00:00,4825.7001953125,4806.908602610673,2026-01-22 14:05:00+00:00,4822.60009765625,-0.0006424140602976778
59,long,2026-01-23 05:40:00+00:00,4962.2998046875,4944.757763135442,2026-01-23 06:00:00+00:00,4958.7998046875,-0.0007053181262232124
60,long,2026-01-23 14:45:00+00:00,4954.10009765625,4930.178005099113,2026-01-23 14:55:00+00:00,4944.10009765625,-0.002018530066586852
61,long,2026-01-25 23:50:00+00:00,5039.0,5015.200172137552,2026-01-26 00:15:00+00:00,5032.60009765625,-0.001270073892389363
62,long,2026-01-26 00:35:00+00:00,5048.7998046875,5029.514129251559,2026-01-26 00:55:00+00:00,5041.0,-0.0015448829403491818
63,long,2026-01-26 01:15:00+00:00,5060.7001953125,5035.330059168329,2026-01-26 01:55:00+00:00,5068.7998046875,0.001600491841524678
64,long,2026-01-26 06:00:00+00:00,5076.5,5055.103816636398,2026-01-26 06:10:00+00:00,5067.0,-0.0018713680685511671
65,long,2026-01-26 14:50:00+00:00,5089.5,5065.4229159225015,2026-01-26 15:15:00+00:00,5086.60009765625,-0.0005697813820119854
66,long,2026-01-26 15:55:00+00:00,5088.39990234375,5067.013249535258,2026-01-26 16:20:00+00:00,5091.7001953125,0.0006485915085466973
67,long,2026-01-26 16:55:00+00:00,5086.39990234375,5067.9303314683675,2026-01-26 17:20:00+00:00,5080.2998046875,-0.0011992957245534608
68,long,2026-01-27 01:10:00+00:00,5067.0,5026.004812174404,2026-01-27 02:00:00+00:00,5052.7998046875,-0.0028024857534043814
69,long,2026-01-27 12:40:00+00:00,5085.10009765625,5060.846430403276,2026-01-27 13:05:00+00:00,5079.5,-0.0011012757956979284
70,long,2026-01-27 15:55:00+00:00,5087.60009765625,5059.275875224996,2026-01-27 16:40:00+00:00,5085.5,-0.00041278748642556846
71,long,2026-01-28 01:05:00+00:00,5193.5,5161.440948061762,2026-01-28 03:35:00+00:00,5224.5,0.005968999711177433
72,long,2026-01-28 09:50:00+00:00,5309.2998046875,5291.299481949105,2026-01-28 10:00:00+00:00,5309.89990234375,0.00011302764551366696
73,long,2026-01-28 13:00:00+00:00,5320.60009765625,5290.522128999136,2026-01-28 13:30:00+00:00,5308.2998046875,-0.0023118243699932154
74,long,2026-01-28 15:00:00+00:00,5326.10009765625,5291.536114735336,2026-01-28 15:05:00+00:00,5274.60009765625,-0.009669363897734961
75,long,2026-01-28 15:40:00+00:00,5313.7001953125,5290.284558612953,2026-01-28 16:30:00+00:00,5312.0,-0.0003199644786131957
76,long,2026-01-29 01:30:00+00:00,5552.10009765625,5511.499607684858,2026-01-29 02:00:00+00:00,5548.60009765625,-0.000630392092800611
77,long,2026-01-29 12:25:00+00:00,5570.7998046875,5543.865954997006,2026-01-29 12:35:00+00:00,5561.2001953125,-0.0017232012837586613
78,long,2026-01-29 23:40:00+00:00,5468.0,5433.255510866742,2026-01-30 00:20:00+00:00,5466.7001953125,-0.0002377111718178493
79,short,2026-02-03 00:55:00+00:00,4802.7001953125,4836.184061248267,2026-02-03 01:00:00+00:00,4834.2001953125,-0.0065588104022700445
80,short,2026-02-03 02:10:00+00:00,4823.0,4849.664949518944,2026-02-03 02:55:00+00:00,4806.2001953125,0.003483268647625959
81,short,2026-02-03 19:05:00+00:00,4903.2001953125,4935.512932866125,2026-02-03 19:10:00+00:00,4939.0,-0.007301314093135522
82,long,2026-02-04 00:55:00+00:00,5038.10009765625,5002.629429517846,2026-02-04 01:35:00+00:00,5040.7998046875,0.000535858156630496
83,short,2026-02-04 14:25:00+00:00,5054.2001953125,5082.278072004967,2026-02-04 16:25:00+00:00,4947.2998046875,0.02115080259862765
84,short,2026-02-05 01:15:00+00:00,4966.2001953125,5023.013322119058,2026-02-05 01:35:00+00:00,4999.7998046875,-0.00676565745511307
85,short,2026-02-05 09:05:00+00:00,4901.2001953125,4934.089122359103,2026-02-05 09:35:00+00:00,4909.2998046875,-0.0016525767265631087
86,short,2026-02-05 19:00:00+00:00,4877.2998046875,4902.5607692182175,2026-02-05 21:00:00+00:00,4845.7998046875,0.006458491637058239
87,long,2026-02-08 23:30:00+00:00,5057.10009765625,5025.006852478099,2026-02-09 00:35:00+00:00,5050.7001953125,-0.001265528112982395
88,long,2026-02-09 03:10:00+00:00,5040.60009765625,5020.567386647798,2026-02-09 03:55:00+00:00,5037.10009765625,-0.0006943617688749818
89,long,2026-02-09 08:40:00+00:00,5050.89990234375,5027.165975173105,2026-02-09 09:10:00+00:00,5046.7998046875,-0.0008117558723243451
90,long,2026-02-09 14:40:00+00:00,5059.10009765625,5025.844134839206,2026-02-09 15:10:00+00:00,5052.0,-0.0014034309500101196
